summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or,street_name,intersecting_street,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle,vehicle_year,meter_number,feet_from_curb,house_number,time_first_observed,violation_legal_code,violation_description
1484697303,JER1863,NY,PAS,2022-06-10T00:00:00.000,67,SDN,TOYOT,P,34330,179,0,20221210,10,10,1,160195,0001,0000,1037A,NY,F,W 28TH ST,CHELSEA PK,0,408,E3,BBBBBBB,ALL,ALL,BLK,0,2004,-,0,,,,
1484697315,KEV4487,NY,PAS,2022-06-13T00:00:00.000,51,SUBN,JEEP,K,34310,16400,11010,20220908,10,10,1,160195,0001,0000,1045A,NY,O,27TH DR,,0,408,F3,BBBBBBB,ALL,ALL,GRAY,0,2017,-,0,436,,,
1484697625,H73NYD,NJ,PAS,2022-06-19T00:00:00.000,63,SDN,JEEP,N,30640,13015,28540,0,1,1,1,161315,0001,0000,1116A,NY,,SOUTH ST,,0,408,F3,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,109,,,
1484697674,GJC9296,NY,PAS,2022-06-19T00:00:00.000,63,SUBN,LEXUS,N,30640,13015,28540,20230820,1,1,1,161315,0001,0000,1052A,NY,,SOUTH ST,,0,408,F3,BBBBBBB,ALL,ALL,,0,0,-,0,109,,,
1484697686,M51PUV,NJ,PAS,2022-06-19T00:00:00.000,63,SDN,HYUND,N,30640,13015,28540,0,1,1,1,161315,0001,0000,1107A,NY,,SOUTH ST,,0,408,F3,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,109,,,
1484697698,H73NYD,NJ,PAS,2022-06-23T00:00:00.000,63,,JEEP,K,30640,13015,28540,0,1,1,1,161315,0001,0000,1050A,NY,O,SOUTH ST,,0,408,E3,BBBBBBB,ALL,ALL,,0,0,-,0,109,,,
1484697728,M51PUV,NJ,PAS,2022-06-23T00:00:00.000,63,,HYUND,K,30640,13015,28540,0,1,1,1,161315,0001,0000,1101A,NY,O,SOUTH ST,,0,408,F3,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,109,,,
1484698204,KJJ8637,NY,PAS,2022-06-20T00:00:00.000,67,SUBN,TOYOT,N,11585,26390,15010,20230120,5,5,1,160954,0001,0000,1205P,NY,F,COLEMAN PLAYGROUND,,0,408,E3,BBBBBBB,ALL,ALL,WHITE,0,2021,-,0,,,,
1484698381,JEC8631,NY,PAS,2022-06-19T00:00:00.000,98,SUBN,NISSA,N,0,0,0,20230121,10,10,1,161348,0001,0000,0535P,NY,,S/S W 28TH STREET,W/O 9TH AVENUE,0,408,B,BBBBBBB,ALL,ALL,BLK,0,2002,-,0,,,,
1484698721,K21PNH,NJ,PAS,2022-06-25T00:00:00.000,10,SUBN,JEEP,K,33190,25190,31990,0,6,6,1,161134,0001,0000,0307P,NY,O,WASHINGTON SQ SO,,0,408,B,BBBBBBB,ALL,ALL,RED,0,0,-,0,40,,,
1484698769,LVK1404,PA,PAS,2022-06-05T00:00:00.000,10,SUBN,NISSA,P,33190,25190,31990,0,6,6,1,161134,0001,0000,0225P,NY,O,WASHINGTON SQUARE SO,,0,408,B,BBBBBBB,ALL,ALL,GY,0,0,-,0,40,,,
1484699683,KSX6366,FL,PAS,2022-06-25T00:00:00.000,51,SUBN,SUBAR,K,30640,24050,0,20230713,1,1,1,161331,0001,0000,0320P,NY,,SOUTH ST,JOHN ST,0,408,C4,BBBBBBB,ALL,ALL,GRAY,0,2005,-,0,,,,
1484699750,GCX5397,NY,PAS,2023-06-19T00:00:00.000,63,SUBN,CHEVR,N,30640,13015,28540,20230103,1,1,1,161331,0001,0000,1102A,NY,O,SOUTH ST,,0,408,F3,BBBBBBB,ALL,ALL,WHT,0,2010,-,0,109,,,
1484703261,KUH5328,NY,PAS,2022-06-09T00:00:00.000,45,SDN,NISSA,K,0,0,0,20240321,45,45,2,160541,0002,0000,0606P,BX,F,PARK RD,ORCHARD BEACH PARKIN,0,408,F3,BBBBBBB,ALL,ALL,BLK,0,2002,-,0,1,,,
1484710629,KUH1765,NY,OMS,2022-06-30T00:00:00.000,14,SDN,TOYOT,K,33340,0,0,20220930,100,100,3,160561,0003,0000,1250P,Q,F,B 97 ST,SHORE FT PKWY,0,408,C,BBBBBBB,ALL,ALL,BLACK,0,2022,-,0,,,,
1484717909,HJJ9998,NY,PAS,2022-06-10T00:00:00.000,20,SUBN,HONDA,K,34440,0,0,20221205,101,101,3,160296,0003,0000,1031A,Q,O,B 125TH ST,PARKING LOT,0,408,C,BBBBBBB,ALL,ALL,RED,0,2005,-,0,,,,
1484720581,GHR524,FL,PAS,2022-07-03T00:00:00.000,68,VAN,CHRYS,K,0,0,0,0,122,122,5,160110,0005,0000,1132A,R,,SMITH BEACH,LOT 2,0,408,B,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,
1484720600,G15PTU,NJ,PAS,2022-07-03T00:00:00.000,68,SUBN,CHEVR,K,0,0,0,0,122,122,5,160110,0005,0000,1135A,R,,SMITH BEACH,LOT 2,0,408,A1,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,
1484720829,JLJ6406,NY,PAS,2022-06-18T00:00:00.000,27,SDN,NISSA,K,11210,22695,0,20220716,123,123,5,160470,0005,0000,0607P,R,,WOLFES POND PARK,CHESTER AVE,0,408,D3,BBBBBBB,ALL,ALL,BLACK,0,2022,-,0,,,,
1484721317,KNZ4744,NY,PAS,2022-06-29T00:00:00.000,20,SUBN,ME/BE,K,23904,25680,21950,20230902,120,120,7,160548,0007,0000,0712P,R,,CLOVE LAKES PK,,0,408,D3,BBBBBBB,ALL,ALL,WHITE,0,2021,-,0,,,,
1484721329,HEZ7860,NY,PAS,2022-07-04T00:00:00.000,20,SUBN,SUBAR,K,39202,0,0,20240305,122,122,5,160548,0005,0000,0235P,R,,MIDLAND BEACH,LOT 8,0,408,C4,BBBBBBB,ALL,ALL,GL,0,2016,-,0,,,,
1484721330,HDE5505,NY,PAS,2022-07-04T00:00:00.000,20,SUBN,ME/BE,K,39202,0,0,20240303,122,122,5,160548,0005,0000,0156P,R,,MIDLAND BEACH,LOT 8,0,408,D,BBBBBBB,ALL,ALL,WHITE,0,2019,-,0,,,,
1484721809,GDM5641,NY,PAS,2022-07-04T00:00:00.000,20,SDN,LEXUS,K,0,0,0,20230207,123,123,5,160073,0005,0000,0148P,R,,,,0,408,F1,BBBBBBB,ALL,ALL,BLK,0,2021,-,0,,,,
1484724136,JEB6269,NY,PAS,2022-07-04T00:00:00.000,68,SDN,CHEVR,N,22278,0,0,20221018,122,122,5,160690,0005,0000,0626P,R,,CEDAR GROVE BEACH,PARKING LOT,0,408,F3,BBBBBBB,ALL,ALL,SILVE,0,2015,-,0,,,,
1484725888,KET8159,NY,PAS,2022-07-09T00:00:00.000,20,SDN,CHEVR,K,42850,33720,61830,20221029,84,84,4,160448,0004,0000,0841P,K,F,FURMAN ST,,0,408,C4,BBBBBBB,ALL,ALL,SILVE,0,2011,-,0,60,,,
1484725955,KSG1672,NY,PAS,2022-06-15T00:00:00.000,27,SDN,VOLKS,K,0,13820,0,20231007,84,84,4,160448,0004,0000,0613P,K,,FURMAN,BROOKLYN BRIDGE PARK,0,408,E3,BBBBBBB,ALL,ALL,BLACK,0,2018,-,0,150,,,
1484726352,KFR7708,NY,PAS,2022-06-11T00:00:00.000,14,SUBN,ACURA,K,13820,0,0,20220909,84,84,4,161241,0004,0000,0940A,K,,BROOKLYN BRIDGE PK,BRIDGE PK,0,408,F3,BBBBBBB,ALL,ALL,WHITE,0,2020,-,0,150,,,
1484726364,JHJ2036,NY,PAS,2022-06-17T00:00:00.000,14,SUBN,ROVER,K,0,0,0,20230416,84,84,4,161241,0004,0000,1151A,K,F,OPP ADAMS STREET,BROOKLYN BRIDGE PARK,0,408,D3,BBBBBBB,ALL,ALL,BLK,0,2019,-,0,,,,
1484726832,KGE9682,NY,PAS,2022-06-04T00:00:00.000,68,SUBN,HONDA,K,13820,0,0,20221011,84,84,4,160116,0004,0000,1221P,K,,BROOKLYN BRIDGE PK,159 BRIDGE PK DR,0,408,C,BBBBBBB,ALL,ALL,BLUE,0,2020,-,0,,,,
