driver_number,points_current,position_current,race_id
1,26.0,1,9472
11,18.0,2,9472
55,15.0,3,9472
16,12.0,4,9472
63,10.0,5,9472
4,8.0,6,9472
44,6.0,7,9472
81,4.0,8,9472
14,2.0,9,9472
18,1.0,10,9472
24,0.0,11,9472
20,0.0,12,9472
3,0.0,13,9472
22,0.0,14,9472
23,0.0,15,9472
27,0.0,16,9472
31,0.0,17,9472
10,0.0,18,9472
77,0.0,19,9472
2,0.0,20,9472
1,51.0,1,9480
11,36.0,2,9480
16,28.0,3,9480
63,18.0,4,9480
81,16.0,5,9480
55,15.0,6,9480
14,12.0,7,9480
4,12.0,8,9480
44,8.0,9,9480
38,6.0,10,9480
27,1.0,11,9480
18,1.0,12,9480
23,0.0,13,9480
24,0.0,14,9480
20,0.0,15,9480
3,0.0,16,9480
31,0.0,17,9480
22,0.0,18,9480
2,0.0,19,9480
77,0.0,20,9480
10,0.0,21,9480
1,51.0,1,9488
16,47.0,2,9488
11,46.0,3,9488
55,40.0,4,9488
81,28.0,5,9488
4,27.0,6,9488
14,20.0,7,9488
63,18.0,8,9488
44,8.0,9,9488
18,7.0,10,9488
38,6.0,11,9488
22,4.0,12,9488
27,3.0,13,9488
20,1.0,14,9488
23,0.0,15,9488
24,0.0,16,9488
3,0.0,17,9488
31,0.0,18,9488
10,0.0,19,9488
77,0.0,20,9488
2,0.0,21,9488
1,77.0,1,9496
11,64.0,2,9496
16,59.0,3,9496
55,55.0,4,9496
4,37.0,5,9496
81,32.0,6,9496
63,24.0,7,9496
14,24.0,8,9496
44,10.0,9,9496
18,9.0,10,9496
22,7.0,11,9496
38,6.0,12,9496
27,3.0,13,9496
20,1.0,14,9496
23,0.0,15,9496
24,0.0,16,9496
3,0.0,17,9496
31,0.0,18,9496
10,0.0,19,9496
77,0.0,20,9496
2,0.0,21,9496
1,85.0,1,9673
11,70.0,2,9673
16,64.0,3,9673
55,59.0,4,9673
4,40.0,5,9673
81,34.0,6,9673
63,25.0,7,9673
14,24.0,8,9673
44,17.0,9,9673
18,9.0,10,9673
22,7.0,11,9673
38,6.0,12,9673
27,3.0,13,9673
20,1.0,14,9673
23,0.0,15,9673
24,0.0,16,9673
3,0.0,17,9673
31,0.0,18,9673
10,0.0,19,9673
77,0.0,20,9673
2,0.0,21,9673
1,100.0,1,9673
11,88.0,2,9673
16,76.0,3,9673
55,69.0,4,9673
4,65.0,5,9673
81,38.0,6,9673
63,33.0,7,9673
14,31.0,8,9673
44,19.0,9,9673
27,4.0,13,9673
31,0.0,16,9673
24,0.0,17,9673
3,0.0,18,9673
